"system","code","display","valueset","tf"
"system","code","display","valueset","tf"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156287","ifosfamide / mesna injectable product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156288","ifosfamide injectable product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161485","temozolomide injectable product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161486","temozolomide oral product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1161487","temozolomide pill","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165319","lomustine oral product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1165320","lomustine pill","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1167136","ifex injectable product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1170165","ccnu oral product","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1170166","ccnu pill","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1171232","gliadel drug implant product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1173621","bicnu injectable product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1174493","cytoxan oral product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1174494","cytoxan pill","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1176425","ceenu oral product","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1176426","ceenu pill","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1176602","endoxana oral product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1176603","endoxana pill","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1181413","temodar injectable product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1181414","temodar oral product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1181415","temodar pill","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1437967","cyclophosphamide oral capsule","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1437968","cyclophosphamide 25 mg oral capsule","rx_class_alkylating","12"
"http://www.nlm.nih.gov/research/umls/rxnorm","1437969","cyclophosphamide 50 mg oral capsule","rx_class_alkylating","12"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545772","lomustine 10 mg [gleostine]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545773","lomustine oral capsule [gleostine]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545774","gleostine oral product","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545775","gleostine pill","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545776","gleostine 10 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545777","lomustine 100 mg [gleostine]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545778","gleostine 100 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545779","lomustine 40 mg [gleostine]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545780","gleostine 40 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1545988","cyclophosphamide anhydrous","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1720734","lomustine 5 mg","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1720735","lomustine 5 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","1720736","lomustine 5 mg [gleostine]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1720737","gleostine 5 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1724292","temozolomide injection","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1724294","temozolomide injection [temodar]","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1729367","carmustine 100 mg","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1729368","carmustine injection","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1729370","carmustine 100 mg [bicnu]","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1729371","carmustine injection [bicnu]","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734715","cyclophosphamide 200mg/vil inj","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734916","cyclophosphamide injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734917","cyclophosphamide 500 mg injection","rx_class_alkylating","9"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734919","cyclophosphamide 1 gm injection","rx_class_alkylating","9"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734921","cyclophosphamide 2 gm injection","rx_class_alkylating","12"
"http://www.nlm.nih.gov/research/umls/rxnorm","1734926","cyclophosphamide 100mg/vil inj","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791586","ifosfamide 3000 mg","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791587","ifosfamide injection","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791588","ifosfamide 3 gm injection","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791589","ifosfamide 3000 mg [ifex]","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791590","ifosfamide injection [ifex]","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791591","ifex 3 gm injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791592","ifosfamide 1000 mg","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791593","ifosfamide 1 gm injection","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791594","ifosfamide 1000 mg [ifex]","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791595","ifex 1 gm injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791597","60 ml ifosfamide 50 mg/ml injection","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791598","ifosfamide 50 mg/ml injection","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791599","20 ml ifosfamide 50 mg/ml injection","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","1791600","ifosfamide 2 g powder for solution for injection vial","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1849425","carmustinum","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","197549","cyclophosphamide 25 mg oral tablet","rx_class_alkylating","9"
"http://www.nlm.nih.gov/research/umls/rxnorm","197550","cyclophosphamide 50 mg oral tablet","rx_class_alkylating","9"
"http://www.nlm.nih.gov/research/umls/rxnorm","197894","lomustine 10 mg oral capsule","rx_class_alkylating","10"
